system:index,Input_FID,dam_count_all,dam_count_anthro,dam_count_confident,.geo
000000000000000031be,41,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59645052902611,48.153676396876406],[-106.59641766694178,48.1536947400765],[-106.59637212658707,48.15373108522683],[-106.59644156664655,48.153819491520814],[-106.59646790015232,48.153805698430965],[-106.59649457076797,48.153805331084705],[-106.59654038910217,48.153777902476236],[-106.59655283138476,48.15374645975759],[-106.59645052902611,48.153676396876406]]]}"
00000000000000003190,42,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59651509938281,48.153608568023735],[-106.59648910226858,48.15363119116733],[-106.59649662512808,48.1536578849919],[-106.59645052902611,48.153676396876406],[-106.59655283138476,48.15374645975759],[-106.5965724174147,48.153732809262856],[-106.59659168257984,48.15371017058746],[-106.59660446196303,48.153692153620796],[-106.59663067783337,48.15367393797464],[-106.59663720649371,48.15366938781118],[-106.59651509938281,48.153608568023735]]]}"
000000000000000031a3,43,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59659300386635,48.153535959936576],[-106.59658669486807,48.15354951322895],[-106.59651509938281,48.153608568023735],[-106.59663720649371,48.15366938781118],[-106.59665674956378,48.153655665781756],[-106.5966831421532,48.153646381755834],[-106.5966956435026,48.15361944817511],[-106.59672169885609,48.153596738451355],[-106.59659300386635,48.153535959936576]]]}"
000000000000000031a8,44,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.5967112938591,48.15347629799578],[-106.59665785176598,48.15347704777971],[-106.5966653747421,48.1535037415102],[-106.59659925454693,48.15352249317857],[-106.59659300386635,48.153535959936576],[-106.59672169885609,48.153596738451355],[-106.5967611486808,48.15357835409221],[-106.59679966232889,48.15352863928571],[-106.5967112938591,48.15347629799578]]]}"
000000000000000031a4,45,0,0,0,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-106.59671125732407,48.15347628821464],[-106.5967179289025,48.15347619551449]]},{""type"":""Polygon"",""coordinates"":[[[-106.59676828125487,48.15337726651769],[-106.5967287304391,48.153395665796516],[-106.59668856441691,48.153391722834925],[-106.59665640269101,48.153427955737385],[-106.59667029383782,48.15344560523053],[-106.59670349286701,48.15344068768882],[-106.59673724788102,48.15345360332487],[-106.59671794001886,48.153476170375406],[-106.59679966232889,48.15352863928571],[-106.59689139930823,48.15347376708922],[-106.59676828125487,48.15337726651769]]]}]}"
0000000000000000319f,46,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59690057949027,48.15333967649449],[-106.5968475167181,48.15334932796307],[-106.59676828125487,48.15337726651769],[-106.59689139930823,48.15347376708922],[-106.59689808838506,48.15347371099465],[-106.59700399458981,48.153445404794546],[-106.59701677372766,48.15342738786988],[-106.59690057949027,48.15333967649449]]]}"
00000000000000003198,47,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59698507077002,48.153267027385276],[-106.59697854220259,48.15327157753524],[-106.59697925878602,48.15329390471633],[-106.59697981489063,48.15331173785268],[-106.59695314448776,48.153312105324304],[-106.59690057949027,48.15333967649449],[-106.59701677372766,48.15342738786988],[-106.59702911430756,48.15339596030378],[-106.59707515078934,48.15337293919808],[-106.59710154319143,48.15336365511213],[-106.59710823226416,48.15336359900323],[-106.59698507077002,48.153267027385276]]]}"
00000000000000003193,48,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59708349602346,48.153212099197646],[-106.59698507077002,48.153267027385276],[-106.59710823226416,48.15336359900323],[-106.59715415110138,48.15333615535794],[-106.59722707777122,48.15332176977871],[-106.59708349602346,48.153212099197646]]]}"
0000000000000000319b,49,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.5972156762057,48.15317008636815],[-106.59720914766771,48.15317463652461],[-106.59715564643038,48.15317087754233],[-106.59711607948735,48.15318483940425],[-106.59709002457458,48.153207549046115],[-106.59708349602346,48.153212099197646],[-106.59722707777122,48.15332176977871],[-106.59731184681625,48.1532580369743],[-106.59731849298056,48.15325790931295],[-106.5972156762057,48.15317008636815]]]}"
000000000000000031b6,50,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.597320308582,48.153101619827446],[-106.59731361954074,48.153101675950005],[-106.59728113744433,48.15312892077031],[-106.5972156762057,48.15317008636815],[-106.59731849298056,48.15325790931295],[-106.59737126122903,48.15323490354566],[-106.59741707862361,48.153207474841004],[-106.597320308582,48.153101619827446]]]}"
