system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000046b3,21,1.7650649776645735,0.0,105.31122486848456,0.0,0.0,2.0115969732695937,90.7736926076459,88.7699609613886,0,0,0,0,1,0,0,0,115.03046154975891,"{""type"":""Polygon"",""coordinates"":[[[-107.54830293654604,48.06299757869195],[-107.5483044904706,48.06302885307415],[-107.5482999452917,48.063073568971156],[-107.54830778653886,48.06309574123637],[-107.54845369171805,48.06308356967202],[-107.54846304509884,48.06300299037204],[-107.54830293654604,48.06299757869195]]]}"
000000000000000046b2,22,0.0,0.0,97.73445871460667,0.0,0.0,0.0,85.5861679804091,76.89458264018972,0,0,0,0,1,0,0,0,112.10787963867188,"{""type"":""Polygon"",""coordinates"":[[[-107.54831160162306,48.06290361095019],[-107.54830224797782,48.062984190089225],[-107.54830293654604,48.06299757869195],[-107.54846304509884,48.06300299037204],[-107.54846603600593,48.06292700019893],[-107.54831160162306,48.06290361095019]]]}"
000000000000000046b4,23,0.0,0.0,95.38993496637715,0.0,0.0,0.0,80.10488749462012,81.17756929724821,0,0,0,0,1,0,0,0,124.43982096016407,"{""type"":""Polygon"",""coordinates"":[[[-107.54834006894443,48.06280473587466],[-107.548321365339,48.0628319393286],[-107.54831160162306,48.06290361095019],[-107.54846603600593,48.06292700019893],[-107.54847112281742,48.062895618056714],[-107.54847066753976,48.06288663973053],[-107.5485021975615,48.0628502422429],[-107.54834006894443,48.06280473587466]]]}"
000000000000000046b1,24,0.0,0.0,0.731731680094027,0.0,0.0,0.0,0.4694622906984067,0.731731680094027,0,0,0,0,1,0,0,0,125.14259092509747,"{""type"":""Polygon"",""coordinates"":[[[-107.54851773630106,48.062760577168795],[-107.54851745782659,48.06275609600831],[-107.5484230177965,48.062731388896],[-107.54839730839308,48.06274986369139],[-107.54835849406959,48.06277305126895],[-107.54834006894443,48.06280473587466],[-107.5485021975615,48.0628502422429],[-107.54851484720416,48.06283655111633],[-107.5485459218535,48.0627911753419],[-107.54855833809866,48.06277307398783],[-107.54851773630106,48.062760577168795]]]}"
000000000000000046b0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,69.39431212842464,"{""type"":""Polygon"",""coordinates"":[[[-107.54847200558271,48.06264543731144],[-107.54846582002783,48.062654523421784],[-107.54845385907197,48.06268160301219],[-107.54843612268353,48.062726676109186],[-107.5484230177965,48.062731388896],[-107.54851745782659,48.06275609600831],[-107.54851594882165,48.06272489272102],[-107.54854857751062,48.06271079122838],[-107.5485670024466,48.06267910664417],[-107.54847200558271,48.06264543731144]]]}"
00000000000000004690,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,79.02269650995731,"{""type"":""Polygon"",""coordinates"":[[[-107.54853488829437,48.062568145572264],[-107.54851023274992,48.06260884526343],[-107.54851068804079,48.06261782354149],[-107.54848452345557,48.06262732003626],[-107.54847200558271,48.06264543731144],[-107.5485670024466,48.06267910664417],[-107.54857346647022,48.06267450167612],[-107.5485863493998,48.06266522081647],[-107.54862956148831,48.062597262724935],[-107.54853488829437,48.062568145572264]]]}"
00000000000000004695,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,83.28779515624046,"{""type"":""Polygon"",""coordinates"":[[[-107.54859721380147,48.062481891638335],[-107.5485974922871,48.06248637277485],[-107.54857792349566,48.06249569051176],[-107.54857837880458,48.06250466876965],[-107.5485524476654,48.062518575476524],[-107.54853447811077,48.06255923822647],[-107.54853488829437,48.062568145572264],[-107.54862956148831,48.062597262724935],[-107.54864180079723,48.062574664303476],[-107.54866091430146,48.06255636827102],[-107.54868597990303,48.06252457592276],[-107.54859721380147,48.062481891638335]]]}"
000000000000000046b7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,78.42324289679527,"{""type"":""Polygon"",""coordinates"":[[[-107.5486471680913,48.06241380996801],[-107.54861673747074,48.06247250297684],[-107.54859721380147,48.062481891638335],[-107.54868597990303,48.06252457592276],[-107.54871791967663,48.06249708595968],[-107.54874239811856,48.06245188919324],[-107.5487550475566,48.062438198144214],[-107.5486471680913,48.06241380996801]]]}"
00000000000000004693,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,69.29005555808544,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.54864719418732,48.062413777580396],[-107.54865384998185,48.062413629851825]]},{""type"":""Polygon"",""coordinates"":[[[-107.54872998394185,48.06233603712067],[-107.5486791643198,48.06238623317315],[-107.54865386544041,48.06241361522598],[-107.5487550475566,48.062438198144214],[-107.54878584310545,48.062388341524496],[-107.54880454621268,48.062361138222805],[-107.54872998394185,48.06233603712067]]]}]}"
0000000000000000467a,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,66.46059127151966,"{""type"":""Polygon"",""coordinates"":[[[-107.54876596751159,48.0622547828616],[-107.54876642286975,48.06226376107605],[-107.54874771979871,48.06229096431881],[-107.54872998394185,48.06233603712067],[-107.54880454621268,48.062361138222805],[-107.54881696220332,48.06234303699025],[-107.54882933306838,48.06232486483962],[-107.54886040695321,48.06227948942572],[-107.54876596751159,48.0622547828616]]]}"
