system:index,Input_FID,Poly_unique_id,dam_count_all,dam_count_anthro,dam_count_confident,.geo
00000000000000002c72,19,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27266343395941,48.42098453086942],[-107.27265615579105,48.42097129615415],[-107.2725295505715,48.4209916239349],[-107.27252979293179,48.42099613720944],[-107.27253052547975,48.42101399149845],[-107.27253209303765,48.42104968427796],[-107.27257330896876,48.42107117544735],[-107.27257374888883,48.421080130466606],[-107.2727067527491,48.42105512728651],[-107.27270646006929,48.42104622799939],[-107.27266343395941,48.42098453086942]]]}"
00000000000000002c60,20,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27272179392938,48.42109062331421],[-107.27270739027345,48.4210685240382],[-107.2727067527491,48.42105512728651],[-107.27257374888883,48.421080130466606],[-107.27258894267307,48.42111999673357],[-107.27260393893019,48.421155421282386],[-107.27261101954629,48.421164214301626],[-107.27273103503995,48.421148434370195],[-107.27272419677217,48.421144154649234],[-107.27277780897126,48.42114309718141],[-107.27272179392938,48.42109062331421]]]}"
00000000000000002c63,21,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27273846054325,48.42116172484866],[-107.27273103503995,48.421148434370195],[-107.27261101954629,48.421164214301626],[-107.272618935215,48.42119084585163],[-107.27259291292653,48.42120922099016],[-107.27259472290136,48.42124942719337],[-107.27274223358305,48.42124650740801],[-107.27274199119782,48.421241994113494],[-107.27276585296825,48.42117460079974],[-107.27273846054325,48.42116172484866]]]}"
00000000000000002c67,22,lrb_1444,0,0,0,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.27259848422989,48.42133419237875],[-107.27260518811146,48.4213340599115]]},{""type"":""Polygon"",""coordinates"":[[[-107.27277315678093,48.42133965278581],[-107.27275816027749,48.42130422814751],[-107.27274399890939,48.421286642089],[-107.2727425262682,48.42125540672823],[-107.27274223358305,48.42124650740801],[-107.27259472290136,48.42124942719337],[-107.27260513631443,48.42133404789158],[-107.27278702549079,48.42134833951974],[-107.27277315678093,48.42133965278581]]]}]}"
00000000000000002c62,23,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27278702549079,48.42134833951974],[-107.27259849559476,48.42133420990627],[-107.2725854619915,48.421343361727104],[-107.27257247319417,48.4213525850914],[-107.27257507334815,48.421410558464416],[-107.27257527090082,48.42141500023053],[-107.27273772105637,48.42144759252579],[-107.27273674603636,48.4214252247857],[-107.27273478315449,48.42138064823729],[-107.27280054935363,48.42135252876612],[-107.27278702549079,48.42134833951974]]]}"
00000000000000002c6e,24,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27257527090082,48.42141500023053],[-107.27253802468655,48.42148273365279],[-107.27253899958245,48.42150510142209],[-107.2726876389371,48.421528919689614],[-107.27268734626989,48.42152002032322],[-107.2727063831724,48.42149730957089],[-107.27273939125661,48.42148326977022],[-107.27273831377306,48.42146091783197],[-107.27273772105637,48.42144759252579],[-107.27257527090082,48.42141500023053]]]}"
00000000000000002c6c,25,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27253899958245,48.42150510142209],[-107.27252045277983,48.42154115329256],[-107.27254056712083,48.42154079452995],[-107.27255463335985,48.42155392310844],[-107.27251537954051,48.42157700843596],[-107.27250947130383,48.42159502493011],[-107.2726711446449,48.42160969139577],[-107.2726642614978,48.42160534009154],[-107.27267588027524,48.42156486530787],[-107.2726876389371,48.421528919689614],[-107.27253899958245,48.42150510142209]]]}"
00000000000000002c75,26,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2726711446449,48.42160969139577],[-107.27250947130383,48.42159502493011],[-107.27250499066925,48.42164420546525],[-107.27247970051927,48.42168043525121],[-107.27248014040838,48.421689390373764],[-107.27266134870644,48.42169021384135],[-107.2726611511452,48.421685772052754],[-107.27268009305435,48.42165860362949],[-107.27267965311557,48.42164964851427],[-107.27267925798805,48.4216407649444],[-107.2726711446449,48.42160969139577]]]}"
00000000000000002c6f,27,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27248014040838,48.421689390373764],[-107.2724839127763,48.421774173797345],[-107.27248430785428,48.42178305739145],[-107.27264505181256,48.421775427586596],[-107.27264461188393,48.42176647245139],[-107.27266134870644,48.42169021384135],[-107.27248014040838,48.421689390373764]]]}"
00000000000000002c79,28,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27248430785428,48.42178305739145],[-107.27247191149314,48.42180560621884],[-107.27246005007036,48.421841567820906],[-107.27248173202334,48.421876902400356],[-107.272648824553,48.421860211130756],[-107.27264838462456,48.42185125598135],[-107.2726470145567,48.42182000446961],[-107.27264505181256,48.421775427586596],[-107.27248430785428,48.42178305739145]]]}"
